image,package_name,type,vulnerability_id,severity,url,patched_version,mirrored,state,notes
rancher/aks-operator:v1.0.1-rc7,glib2,redhat,CVE-2021-27219,HIGH,https://avd.aquasec.com/nvd/cve-2021-27219,2.56.4-10.el8_4,,triaged,
rancher/aks-operator:v1.0.1-rc7,glibc,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc7,glibc-common,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc7,glibc-minimal-langpack,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc7,sqlite-libs,redhat,CVE-2019-5827,HIGH,https://avd.aquasec.com/nvd/cve-2019-5827,,,triaged,
rancher/aks-operator:v1.0.1-rc8,glibc,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc8,glibc-common,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc8,glibc-minimal-langpack,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/aks-operator:v1.0.1-rc8,sqlite-libs,redhat,CVE-2019-5827,HIGH,https://avd.aquasec.com/nvd/cve-2019-5827,,,triaged,
rancher/backup-restore-operator:v2.0.0-rc2,golang.org/x/crypto,alpine,CVE-2020-29652,HIGH,https://avd.aquasec.com/nvd/cve-2020-29652,v0.0.0-20201216223049-8b5274cf687f,,triaged,
rancher/cis-operator:v1.0.5-rc1,golang.org/x/crypto,alpine,CVE-2020-29652,HIGH,https://avd.aquasec.com/nvd/cve-2020-29652,v0.0.0-20201216223049-8b5274cf687f,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-6485,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6485,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-6551,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6551,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2019-9169,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-9169,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2021-33574,CRITICAL,https://avd.aquasec.com/nvd/cve-2021-33574,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2009-5155,HIGH,https://avd.aquasec.com/nvd/cve-2009-5155,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2018-1000001,HIGH,https://avd.aquasec.com/nvd/cve-2018-1000001,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2020-1751,HIGH,https://avd.aquasec.com/nvd/cve-2020-1751,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2020-1752,HIGH,https://avd.aquasec.com/nvd/cve-2020-1752,,,triaged,
rancher/configmap-reload:v0.3.0-rancher4,libc6,debian,CVE-2021-3326,HIGH,https://avd.aquasec.com/nvd/cve-2021-3326,,,triaged,
rancher/coredns-coredns:1.6.9,github.com/apache/thrift,gobinary,CVE-2020-13949,HIGH,https://avd.aquasec.com/nvd/cve-2020-13949,v0.14.0,,triaged,
rancher/coredns-coredns:1.6.9,golang.org/x/crypto,gobinary,CVE-2020-29652,HIGH,https://avd.aquasec.com/nvd/cve-2020-29652,v0.0.0-20201216223049-8b5274cf687f,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,apk-tools,alpine,CVE-2021-30139,HIGH,https://avd.aquasec.com/nvd/cve-2021-30139,2.10.6-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,busybox,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcrypto1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcrypto1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8231,HIGH,https://avd.aquasec.com/nvd/cve-2020-8231,7.69.1-r2,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8285,HIGH,https://avd.aquasec.com/nvd/cve-2020-8285,7.69.1-r3,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2020-8286,HIGH,https://avd.aquasec.com/nvd/cve-2020-8286,7.69.1-r3,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libcurl,alpine,CVE-2021-22901,HIGH,https://avd.aquasec.com/nvd/cve-2021-22901,7.77.0-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libssl1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,libssl1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/coreos-flannel:v0.13.0-rancher1,ssl_client,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/eks-operator:v1.1.1-rc2,glib2,redhat,CVE-2021-27219,HIGH,https://avd.aquasec.com/nvd/cve-2021-27219,2.56.4-10.el8_4,,triaged,
rancher/eks-operator:v1.1.1-rc2,glibc,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/eks-operator:v1.1.1-rc2,glibc-common,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/eks-operator:v1.1.1-rc2,glibc-minimal-langpack,redhat,CVE-2019-1010022,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-1010022,,,triaged,
rancher/eks-operator:v1.1.1-rc2,sqlite-libs,redhat,CVE-2019-5827,HIGH,https://avd.aquasec.com/nvd/cve-2019-5827,,,triaged,
rancher/externalip-webhook:v0.1.6,golang.org/x/crypto,debian,CVE-2020-29652,HIGH,https://avd.aquasec.com/nvd/cve-2020-29652,v0.0.0-20201216223049-8b5274cf687f,,triaged,
rancher/externalip-webhook:v0.1.6,golang.org/x/crypto,debian,CVE-2020-9283,HIGH,https://avd.aquasec.com/nvd/cve-2020-9283,v0.0.0-20200220183623-bac4c82f6975,,triaged,
rancher/fleet-agent:v0.3.6-rc2,apk-tools,alpine,CVE-2021-30139,HIGH,https://avd.aquasec.com/nvd/cve-2021-30139,2.10.6-r0,,triaged,
rancher/fleet-agent:v0.3.6-rc2,busybox,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/fleet-agent:v0.3.6-rc2,libcrypto1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/fleet-agent:v0.3.6-rc2,libcrypto1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/fleet-agent:v0.3.6-rc2,libssl1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/fleet-agent:v0.3.6-rc2,libssl1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/fleet-agent:v0.3.6-rc2,ssl_client,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/fleet:v0.3.6-rc2,apk-tools,alpine,CVE-2021-30139,HIGH,https://avd.aquasec.com/nvd/cve-2021-30139,2.10.6-r0,,triaged,
rancher/fleet:v0.3.6-rc2,busybox,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/fleet:v0.3.6-rc2,libcrypto1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/fleet:v0.3.6-rc2,libcrypto1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/fleet:v0.3.6-rc2,libssl1.1,alpine,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1j-r0,,triaged,
rancher/fleet:v0.3.6-rc2,libssl1.1,alpine,CVE-2021-3450,HIGH,https://avd.aquasec.com/nvd/cve-2021-3450,1.1.1k-r0,,triaged,
rancher/fleet:v0.3.6-rc2,ssl_client,alpine,CVE-2021-28831,HIGH,https://avd.aquasec.com/nvd/cve-2021-28831,1.31.1-r20,,triaged,
rancher/fluent-bit:1.7.4,libc6,debian,CVE-2021-33574,CRITICAL,https://avd.aquasec.com/nvd/cve-2021-33574,,,triaged,
rancher/fluent-bit:1.7.4,libc6,debian,CVE-2020-1751,HIGH,https://avd.aquasec.com/nvd/cve-2020-1751,,,triaged,
rancher/fluent-bit:1.7.4,libc6,debian,CVE-2020-1752,HIGH,https://avd.aquasec.com/nvd/cve-2020-1752,,,triaged,
rancher/fluent-bit:1.7.4,libc6,debian,CVE-2021-3326,HIGH,https://avd.aquasec.com/nvd/cve-2021-3326,,,triaged,
rancher/fluent-bit:1.7.4,libgcc1,debian,CVE-2018-12886,HIGH,https://avd.aquasec.com/nvd/cve-2018-12886,,,triaged,
rancher/fluent-bit:1.7.4,libgcc1,debian,CVE-2019-15847,HIGH,https://avd.aquasec.com/nvd/cve-2019-15847,,,triaged,
rancher/fluent-bit:1.7.4,libgomp1,debian,CVE-2018-12886,HIGH,https://avd.aquasec.com/nvd/cve-2018-12886,,,triaged,
rancher/fluent-bit:1.7.4,libgomp1,debian,CVE-2019-15847,HIGH,https://avd.aquasec.com/nvd/cve-2019-15847,,,triaged,
rancher/fluent-bit:1.7.4,libssl1.1,debian,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1d-0+deb10u5,,triaged,
rancher/fluent-bit:1.7.4,libstdc++6,debian,CVE-2018-12886,HIGH,https://avd.aquasec.com/nvd/cve-2018-12886,,,triaged,
rancher/fluent-bit:1.7.4,libstdc++6,debian,CVE-2019-15847,HIGH,https://avd.aquasec.com/nvd/cve-2019-15847,,,triaged,
rancher/fluent-bit:1.7.4,openssl,debian,CVE-2021-23840,HIGH,https://avd.aquasec.com/nvd/cve-2021-23840,1.1.1d-0+deb10u5,,triaged,
rancher/fluentd:v0.1.24,bsdutils,debian,CVE-2016-2779,HIGH,https://avd.aquasec.com/nvd/cve-2016-2779,,,triaged,
rancher/fluentd:v0.1.24,gcc-6-base,debian,CVE-2018-12886,HIGH,https://avd.aquasec.com/nvd/cve-2018-12886,,,triaged,
rancher/fluentd:v0.1.24,gpgv,debian,CVE-2018-1000858,HIGH,https://avd.aquasec.com/nvd/cve-2018-1000858,,,triaged,
rancher/fluentd:v0.1.24,libblkid1,debian,CVE-2016-2779,HIGH,https://avd.aquasec.com/nvd/cve-2016-2779,,,triaged,
rancher/fluentd:v0.1.24,libbz2-1.0,debian,CVE-2019-12900,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-12900,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2018-6485,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6485,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2018-6551,CRITICAL,https://avd.aquasec.com/nvd/cve-2018-6551,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2019-9169,CRITICAL,https://avd.aquasec.com/nvd/cve-2019-9169,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2021-33574,CRITICAL,https://avd.aquasec.com/nvd/cve-2021-33574,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2009-5155,HIGH,https://avd.aquasec.com/nvd/cve-2009-5155,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2018-1000001,HIGH,https://avd.aquasec.com/nvd/cve-2018-1000001,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2020-1751,HIGH,https://avd.aquasec.com/nvd/cve-2020-1751,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2020-1752,HIGH,https://avd.aquasec.com/nvd/cve-2020-1752,,,triaged,
rancher/fluentd:v0.1.24,libc-bin,debian,CVE-2021-3326,HIGH,https://avd.aquasec.com/nvd/cve-2021-3326,,,triaged,
